Date time,Temperature,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
1/1/2020 0:00,26,7.6,10,27,67.03,Partially cloudy
1/1/2020 1:00,25.9,9.4,10.2,25.4,73.53,Partially cloudy
1/1/2020 2:00,25,10.1,8,27,71.96,Partially cloudy
1/1/2020 3:00,24.6,9.4,8,27,69.28,Partially cloudy
1/1/2020 4:00,23.6,12.2,9.1,32.8,71.34,Partially cloudy
1/1/2020 5:00,22.6,5.4,8,35.2,75.29,Partially cloudy
1/1/2020 6:00,22,6.7,8.8,27,80.08,Partially cloudy
1/1/2020 7:00,23.9,8.5,10.9,27.3,78.26,Partially cloudy
1/1/2020 8:00,27.4,13.7,10,27,60.16,Partially cloudy
1/1/2020 9:00,29.4,18.4,10,27,52.21,Partially cloudy
1/1/2020 10:00,31.2,11.8,10.9,27.3,45.68,Partially cloudy
1/1/2020 11:00,33.4,12.2,10,14.8,35.72,Clear
1/1/2020 12:00,34,17.6,10,27,29.24,Partially cloudy
1/1/2020 13:00,34.5,17,10.9,27.3,29.68,Partially cloudy
1/1/2020 14:00,34,13.7,10,27,30.02,Partially cloudy
1/1/2020 15:00,34,14.4,10,35.2,30.82,Partially cloudy
1/1/2020 16:00,32.5,12.5,10.9,41.7,40.7,Partially cloudy
1/1/2020 17:00,30.6,10.4,10,27,54.59,Partially cloudy
1/1/2020 18:00,29.4,10.4,10,27,56.99,Partially cloudy
1/1/2020 19:00,29.9,5.6,10.9,28.2,59.33,Partially cloudy
1/1/2020 20:00,29.6,5.4,10,35.2,59.97,Partially cloudy
1/1/2020 21:00,28.6,2.2,10,50,66.78,Partially cloudy
1/1/2020 22:00,27.9,5.4,10.2,52.8,72.73,Partially cloudy
1/1/2020 23:00,27,3.3,8,35.2,69.73,Partially cloudy
1/2/2020 0:00,26.6,6,8,35.2,65.48,Partially cloudy
1/2/2020 1:00,25.5,10.1,9.1,34.7,67.45,Partially cloudy
1/2/2020 2:00,24.6,6,8,35.2,71.06,Partially cloudy
1/2/2020 3:00,23.6,5.9,8,35.2,75.45,Partially cloudy
1/2/2020 4:00,23.1,6.4,9.1,32.8,77.77,Partially cloudy
1/2/2020 5:00,23,8.3,8,35.2,78.21,Partially cloudy
1/2/2020 6:00,23.4,9.8,8.8,27,76.31,Partially cloudy
1/2/2020 7:00,25.3,14.4,10.9,16.2,68.35,Clear
1/2/2020 8:00,27.4,15.5,10,0,60.16,Clear
1/2/2020 9:00,29.4,14.4,10,0,52.21,Clear
1/2/2020 10:00,31.2,6.4,10.9,16.2,46.06,Clear
1/2/2020 11:00,32.4,11.6,10,30,42.39,Partially cloudy
1/2/2020 12:00,35.1,14.8,10,50,36.68,Partially cloudy
1/2/2020 13:00,35,15.8,10,50,36.66,Partially cloudy
1/2/2020 14:00,33.6,16.2,10,50,38.19,Partially cloudy
1/2/2020 15:00,34.6,8.3,10,50,39.46,Partially cloudy
1/2/2020 16:00,32.6,5.4,10,50,47.52,Partially cloudy
1/2/2020 17:00,31.6,6.7,10,35.2,54.83,Partially cloudy
1/2/2020 18:00,30,11.6,10,35.2,63.84,Partially cloudy
1/2/2020 19:00,29.9,9.1,10.9,39.4,67.1,Partially cloudy
1/2/2020 20:00,29,9.4,10,35.2,72.67,Partially cloudy
1/2/2020 21:00,28.6,11.2,10,50,76.24,Partially cloudy
1/2/2020 22:00,27.9,8.5,10.9,50.9,79.12,Partially cloudy
